"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk-1.Fpts","Wk-2.Fpts","Wk-3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
0,"0",3200,23.5,0.05,0.07,0.01,0.3,0.2,0,0,4.5,4.3,5.1,4.3,1.2,5.1,3.8,6.2,7,2.5,10,6.7,25,14,6.7,0,2,31,58,1,0.130630630630631,5,5,4,0
0,"0",3200,27,-0.15,0.01,-0.12,0.3,0.2,0.2,0,5,3.3,4.1,3.6,0.6,8.8,4.3,6.4,6,2.4,10.4,7,6,4,0.7,6.1,6,24,45,1,0.0986842105263158,6,4,6,0
1,"0",3200,22.8,0.06,-0.16,0.09,0,0,0,0,0,5,5,6.1,0.4,6.8,4.7,6.5,10,1.2,11.8,10,26,24,0,2.2,3.7,32,56,0,0.149333333333333,2,2,8,0
0,"0",3200,25.3,0.08,-0.14,-0.05,0,0,0,0,0,2.3,3.8,4.3,0.3,9.4,4.5,7.2,7,2.7,11.8,8.2,9,11,3.3,8,2.1,29,45,2,0.121951219512195,4,4,4,1
0,"0",3200,19.3,-0.01,-0.12,-0.07,0,0.1,0.2,0,2,3.3,4.4,4.1,0.3,7.4,12.6,7,7,2.7,11.2,6.3,8,7,13.9,8.4,0,24,49,4,0.0981963927855711,6,4,1,0
1,"0",3100,24.8,0.06,0.17,0.05,0,0,0,0,0,4.7,4.6,4.3,0.9,6.9,4.1,6,7,2.6,9.4,6.2,26,17,0,5.6,6.8,34,59,0,0.136574074074074,3,3,6,0
3,"0",3100,19.8,0.13,-0.05,0.06,0,0,0,0,0,5.3,4.8,5.3,0.3,8.5,5.4,8.5,9,2.9,14.2,7.9,30,25,9.8,1.3,5.1,35,59,3,0.144607843137255,4,4,2,0
0,"0",3000,21.3,0.06,0.14,0.2,0,0,0,0,0,1.7,1.7,2.7,0.6,4.1,1.6,2.9,4,-0.4,6.2,4.5,18,32,0,0,0,10,17,2,0.0353430353430353,9,7,5,0
0,"0",3000,21.3,0.06,0.14,0.2,0,0,0,0,0,4,4.9,4.1,1.1,5.6,7.2,8.2,6,4,12.3,7.2,18,32,5.8,14.1,1.6,32,63,4,0.130977130977131,3,3,2,0
0,"0",3000,23.3,-0.05,0.09,-0.04,0,0,0,0,0,3,2.7,2.6,0.3,7.3,2.6,4.4,4,0.6,8.2,4.6,16,13,3.1,1.5,3.1,11,22,1,0.0467091295116773,7,7,6,0
0,"0",3000,22.3,0.05,-0.14,-0.08,0,0,0,0,0,2,2.6,1.4,0.6,6.1,6.4,6.1,2,3.1,9.2,2.6,9,3,0,0,0,8,20,4,0.0560224089635854,9,7,1,0
0,"0",3000,23.3,-0.05,0.09,-0.04,0,0.2,0,0,2.5,1.3,4.1,1,0.4,9.4,0,7.1,2,-3.5,17.7,1.9,16,13,0,0,0,20,43,2,0.0912951167728238,5,5,4,0
0,"0",3000,23,-0.2,0.15,-0.34,0,0,0,0,0,1.7,2.8,0.5,0.6,10.9,5.4,4.8,1,2.2,7.5,0,1,1,0,8,1.3,10,15,0,0.0380710659898477,7,7,10,0
0,"0",3000,21,0.11,-0.13,0.14,0,0,0,0,0,1.3,2.3,0,0.1,7.5,5.3,4.3,0,-1.2,9.8,0,22,30,0,14.6,0,9,18,2,0.0441176470588235,7,7,3,0
0,"0",3000,21,0.11,-0.13,0.14,0,0,0,0,0,2.3,1.9,2.2,0.6,8.4,6.8,4.3,4,0.4,8.2,3.8,22,30,0,7.6,0,7,15,2,0.0367647058823529,8,8,3,0
0,"0",3000,25,0.02,0.08,-0.01,0,0,0,0,0,1.3,2.6,5,0.7,8.7,6,6.1,8,2.3,9.9,9,20,20,0,7.3,7.9,20,25,3,0.049800796812749,7,7,5,0
3,"0",3000,27,0.12,-0.08,0.07,0,0,0,0,0,2.3,2,4.6,0,13.5,7.6,5.7,7,0.1,11.3,8.7,27,19,9.6,0,0,6,8,1,0.0178571428571429,10,11,4,0
0,"0",3000,25,-0.01,-0.05,0.07,0,0,0,0,0,1.3,1.5,1.4,0.3,3.4,1.8,1.1,2,-0.3,2.5,2.3,11,27,4,0,1.4,8,18,0,0.0368852459016393,8,7,8,0
0,"0",3000,23.5,0.05,0.07,0.01,0.3,0.3,0,0,3,3,3,1.8,0,8.9,3.8,3.8,3,-0.8,8.4,3.9,25,14,0,0,0,3,8,0,0.018018018018018,12,10,8,0
0,"0",3000,24.8,0.09,-0.17,-0.02,0.3,0.1,0,0,-3,2,3.7,2.4,0.5,4.7,0.3,4,4,-0.8,8.8,4.6,21,12,-0.3,0,0,20,41,1,0.0949074074074074,5,5,5,0
0,"0",3000,19,0.01,0.08,-0.13,0,0.2,0.2,0,0,1.3,3.7,3.2,0.8,5.8,1,5.7,6,-0.5,12,5.6,19,6,0,0,3,25,46,3,0.104783599088838,5,4,2,0
0,"0",3000,23,0.03,0.32,0.04,0,0,0,0,0,1.3,0.4,0.5,0.1,10,2,0.8,1,-0.4,1.9,1.3,31,31,2.6,1.7,1.7,4,5,0,0.0111856823266219,11,11,6,0
0,"0",3000,23,0.03,0.32,0.04,0,0,0,0,0,1.5,1.5,0.5,0,19.3,3.9,3.9,1,-1.6,9.4,0,31,31,7.8,0,0,2,3,0,0.00671140939597315,12,12,6,0
0,"0",3000,24.8,-0.09,0,0.05,0,0,0,0,0,4,1.8,1,0.3,8.3,7.3,3.9,2,0.1,7.8,1.6,12,22,7.5,3.9,10.4,13,21,1,0.0475113122171946,6,6,6,0
1,"0",3000,17.3,0.03,-0.08,-0.02,0,0,0,0,0,4.3,1.5,4.3,0.4,4.8,6.8,2,8,-2.6,6.5,10,18,7,2.9,15.4,2,10,18,1,0.0414746543778802,9,9,4,0
0,"0",3000,17.5,-0.16,-0.03,-0.23,0,0,0,0,0,2.3,1.7,3.8,0.3,4.5,1.7,2.4,6,-1.9,6.7,7.9,2,2,6.1,0,0,5,10,1,0.0202020202020202,10,10,5,0
0,"0",3000,17.5,-0.16,-0.03,-0.23,0,0,0,0,0,0.7,1.1,2.3,0.1,12.9,0.9,2.8,4,-1.3,6.9,3.5,2,2,0,0,0,5,9,1,0.0181818181818182,10,11,5,0
0,"0",3000,19.8,-0.02,0.59,0.09,0,0,0,0,0,1.7,3,1.2,0,5.2,1.7,4.3,2,-0.2,8.8,2,32,32,0,0,0,14,21,0,0.0506024096385542,6,6,7,0
13,"0",3000,19.8,-0.02,0.59,0.09,0,0.1,0,0,30,6.7,5.1,4.1,0.3,7.2,10.1,7.3,7,3.1,11.4,7.7,32,32,16.1,4.4,0,30,50,2,0.120481927710843,4,4,3,0
0,"0",3000,22.8,0.06,-0.16,0.09,0,0,0,0,0,2.7,2.3,0,0,8.1,4.1,3.1,0,0.4,5.8,0,26,24,0,0,0,5,10,0,0.0266666666666667,10,9,8,0
4,"0",3000,24.3,-0.06,0.07,0.12,0,0,0,0,0,1.7,2,5.1,0.3,6.6,3.7,3.8,8,-1.1,8.6,10,13,21,9.8,0,0,11,19,2,0.0450236966824645,9,9,5,0
2,"0",3000,24.3,-0.06,0.07,0.12,0,0,0,0,0,2.7,2.2,5.5,0.6,6.8,3.8,4.4,9,0.7,8.1,9.8,13,21,1.5,7.7,0,14,20,2,0.0473933649289099,8,8,5,0
0,"0",3000,19.8,0.13,-0.05,0.06,0,0,0,0,0,2,1.6,1.1,0,3.4,1.8,1.3,2,0.5,2.1,2,30,25,1.8,0,2,4,7,0,0.017156862745098,8,9,5,0
10,"0",3000,25.3,0.05,-0.12,0.04,0,0,0,0,0,6.7,5.4,4.6,0.9,6.5,6.5,6.4,8,3.3,9.4,9.4,17,22,11.8,2.8,4.9,37,67,0,0.17312661498708,3,3,5,0
0,"0",3000,25.3,0.05,-0.12,0.04,0,0,0,0,0,3,2.4,1.4,0.3,8.6,3.8,3.4,3,1.1,5.7,3.9,17,22,0,2.7,1.6,13,24,0,0.062015503875969,6,5,5,0
0,"0",3000,25.3,0.05,-0.12,0.04,0,0,0,0,0,1,1,0,0,13.8,2,3.3,0,-0.6,7.3,0,17,22,2.4,0,0,4,5,1,0.0129198966408269,9,9,3,0
0,"0",3000,25.3,0.08,-0.14,-0.05,0,0,0,0,0,1.7,2.7,1.2,0.5,6.4,2.9,4.2,2,-0.6,9.1,2,9,11,0,0,6.9,14,27,3,0.0731707317073171,6,6,3,0
0,"0",3000,21.8,0.1,-0.23,0.09,0,0,0,0,0,2.3,2.4,0.7,0.1,5.7,2.1,4.1,1,0.2,8,1.2,18,18,1.8,2.8,1.8,7,17,2,0.0364025695931477,11,9,3,0
1,"0",3000,19.3,-0.01,-0.12,-0.07,0,0,0,0,0,3.3,3.3,3.3,0.2,7.1,6.2,4.3,5,1,7.6,5.2,8,7,7.1,5,6.5,26,43,0,0.0861723446893788,5,5,8,0
0,"0",5000,21.5,-0.17,0.05,-0.1,0,0,0,0,0,7.3,9,7.9,0.5,6,10.7,12.1,13,5.7,18.5,13.1,10,5,5.3,14.8,12,60,123,4,0.265086206896552,1,1,1,0
7,"0",4900,32.5,-0.01,0.59,0.08,0.3,0.1,0,0.1,5,4.3,5.8,6.6,0.9,7.4,7.7,10,10,2.9,17.2,14.1,32,31,0,4.6,15,51,75,3,0.165562913907285,2,2,3,0
7,"0",4800,23,-0.01,-0.06,0.09,0.3,0.4,0.2,0,6.2,6.3,7.8,6.8,0.7,8.9,10.2,14.4,12,8.3,20.5,11.5,12,30,10.2,11.9,8.6,63,103,4,0.187272727272727,2,1,1,0
10,"0",4800,22.8,-0.09,0,0.06,5.3,3.7,8.2,0.6,5.2,3,3.6,4.2,0.8,7.3,9.5,7.8,20,-0.4,16.1,11.6,11,24,17.6,7.6,3.4,37,45,1,0.0860420650095602,4,4,5,1
8,"1",4800,24.8,0.07,0.07,-0.01,0,0.1,0,0,11,8.3,5.8,6.1,0.5,10.1,15,12,10,5.4,18.5,13.4,29,14,17.1,14.6,13.3,57,76,3,0.16135881104034,3,3,2,0
3,"0",4700,24.5,0.14,-0.19,0.2,0,0.1,0,0,-1,4.7,6.6,6.6,0.7,6.6,5.3,9.1,11,3.6,14.6,12.2,23,32,2.6,0,0,31,58,2,0.12719298245614,4,4,3,0
3,"0",4700,23.3,-0.22,0.18,-0.37,0,0,0,0,0,7.3,4.2,6.3,0.9,8.5,17.2,8.8,10,0.7,16.9,10.8,1,1,14.1,16.2,21.2,29,44,4,0.0912863070539419,5,5,2,0
1,"0",4700,21.3,0.04,-0.16,-0.1,0,0.1,0,0,-2,7.3,5.9,7.4,1.1,7.5,10.8,10.1,12,2.5,17.6,11.2,9,3,5.2,20.5,6.8,44,81,5,0.170526315789474,4,2,1,0
3,"0",4700,28.8,0.13,-0.16,0.09,0,0,0,0,0,6.3,7,7.4,0.9,8.5,13.3,12.5,12,6.6,18.4,13.9,28,27,16.9,14.8,8.3,65,95,3,0.18664047151277,1,1,4,0
0,"0",4700,19.3,0.06,-0.14,-0.05,0,0.1,0,0,3,6,6.8,6.7,0.8,9.7,7.5,13,11,2.4,23.6,11.9,7,7,10.7,0,9.4,46,95,4,0.198329853862213,4,2,3,0
1,"0",4700,21,0.03,-0.05,0.06,0,0,0,0,0,4.3,5.9,6.3,0.7,8.4,8.4,10.8,11,3.9,17.7,11.2,24,17,3.4,12.4,9.4,47,70,4,0.178117048346056,2,2,2,0
3,"0",4600,18.5,0.02,0.15,0.16,0,0,0,0,0,7.7,5.8,6.2,0.6,9.1,14.4,12.6,10,6,19.2,11.9,15,28,3.6,0,15.4,51,78,8,0.1875,2,2,1,0
2,"0",4600,21.3,0.04,-0.16,-0.1,0.7,0.2,0.2,0,14.3,7,5.5,6.5,0.6,7.4,12.2,8.5,11,3.3,13.6,11.3,9,3,14.9,10.6,11.2,49,72,1,0.151578947368421,2,3,4,0
0,"0",4600,12.3,-0.04,-0.08,0.03,0,0,0,0,0,9.3,7.6,6.9,0.8,9.5,15.4,14.7,12,7.4,22.1,11.7,5,20,15.2,14.7,16.2,64,102,5,0.226666666666667,1,1,1,0
0,"0",4600,22.8,-0.09,0,0.06,0,0.8,0.6,0.2,3.3,4.3,6.9,6.7,1.1,7.3,9.1,12.6,12,5.5,19.8,11.1,11,24,6.3,10.9,10.1,62,88,5,0.168260038240918,3,3,3,0
1,"0",4600,23.3,0.02,-0.09,-0.02,0.3,0.1,0,0,22,4,6.5,7.2,0.6,6.4,7.1,11.2,12,5.1,17.3,12.4,18,8,6.9,12.1,2.2,54,86,6,0.173387096774194,2,2,2,0
2,"0",4500,21.8,0.07,0.05,-0.01,1.3,0.9,0,0.1,6.2,6.7,5.5,5.3,0.2,8.3,16.7,9.9,9,2.9,16.9,9.3,25,13,4.6,19.6,25.8,44,72,4,0.156862745098039,3,3,2,0
0,"0",4500,19.3,0.06,-0.14,-0.05,0,0,0,0,0,7,6,7,1.3,6.2,13.9,11.2,11,6,16.3,12.4,7,7,13.9,8,19.9,58,83,8,0.173277661795407,2,3,1,0
7,"0",4400,18,-0.13,-0.02,-0.1,0,0,0,0,0,5.7,9.1,7.4,1.2,5.4,4.4,12.5,12,3.8,21.1,12.2,6,6,2.7,6.1,4.4,57,125,6,0.234082397003745,1,1,1,0
1,"0",4300,18.5,-0.03,0.25,0.02,0,0,0,0,0,4.7,6.4,5.6,0.8,8.2,10.9,10.9,9,3.7,18.2,7.6,23,22,5.9,2,24.9,46,83,4,0.184035476718404,2,2,1,0
2,"0",4200,18.3,0.05,-0.1,0.04,0,0.1,0,0.1,6,7,6,5.7,0.7,8.9,10.9,11.4,10,1.8,21,11.7,16,22,19.2,9.7,3.9,47,74,3,0.157446808510638,2,1,2,1
1,"0",4200,18.5,-0.03,0.25,0.02,0.7,0.3,0,0,14,8.3,5.6,6.5,0.3,7.5,12.5,8.1,11,3.2,13.1,10.2,23,22,17.1,16.1,4.4,36,61,2,0.135254988913525,4,3,3,0
0,"0",4100,21.5,-0.17,0.05,-0.1,0,0,0,0,0,5.3,6.5,4.6,0.5,7.5,8.4,10.4,7,1.4,19.3,8.3,10,5,4.2,10.9,10,37,71,2,0.15301724137931,4,3,3,0
2,"0",4100,16.5,-0.04,0.17,-0.06,0.3,0.1,0.2,0,1,10,7.9,6.5,0.4,6.1,8.8,11.1,12,2.2,20,11,19,11,5.7,0,12.8,23,56,3,0.119914346895075,6,4,2,0
0,"0",4000,27.3,-0.05,0.03,0.14,1.3,0.5,0,0.1,19,6,4.2,4.6,0.5,7.8,11.8,7.1,8,0.5,13.7,8.9,14,25,9.6,24.8,0.9,36,62,0,0.147268408551069,4,4,5,1
8,"0",4000,18,-0.13,-0.02,-0.1,1,0.5,0,0,5.8,7.7,6.6,7,0.5,8.5,13.5,11.3,12,5.8,16.8,11,6,6,19.3,7.4,13.9,56,90,2,0.168539325842697,2,2,4,0
22,"0",3900,25.8,0.1,-0.08,0.03,0.3,0.4,0.8,0.1,20.8,2.7,4,6.6,0.4,7.3,11.9,8.3,11,-0.3,17,13.6,27,15,19.4,11.2,5,23,46,4,0.0834845735027223,6,6,2,0
1,"0",3800,21,0.03,-0.05,0.06,0,0,0,0,0,6,4.8,4.3,0.3,9.5,14,10.2,8,2.5,17.9,6.9,24,17,21.7,4.1,16.2,36,62,6,0.157760814249364,3,3,1,0
0,"0",3800,19.8,-0.14,-0.05,-0.2,0.3,0.2,0.2,0,5,5,4.4,5.5,0.6,7.8,3.9,6.3,9,2.4,10.1,10,2,2,4.9,0.7,6.1,27,54,1,0.109311740890688,6,3,6,0
0,"0",3800,25.8,0.1,-0.08,0.03,0,0.1,0,0,10,2.3,5.5,5,0.4,6.7,1,7.4,8,-1.1,15.8,9.9,27,15,0,0,2.9,32,63,1,0.114337568058076,4,4,6,1
0,"0",3800,23.3,-0.22,0.18,-0.37,0.7,0.3,0,0,3,5.7,3.9,5,0.4,13,17,10.3,8,1.5,19,8.3,1,1,27.6,12.3,11,32,51,4,0.105809128630705,4,4,2,0
0,"0",3800,23.5,0.07,0.12,0.06,0.3,0.2,0,0,-1.5,3,5.7,4.3,0.6,8,2,9.8,7,0.4,19.2,8,25,18,-0.2,4.4,1.8,42,70,3,0.153172866520788,3,3,5,0
1,"0",3700,20.5,0.08,-0.23,0.08,0.7,0.4,0,0,3.6,3.3,5.3,5.5,0.5,7.4,5.2,8.5,9,2.5,14.4,9.8,11,15,0,3.9,3.1,47,70,1,0.146750524109015,3,3,4,0
0,"0",3700,12.3,-0.04,-0.08,0.03,1.7,1.8,1.9,0.3,5.6,5.7,7.5,6.3,0.7,5.1,11.8,10.6,14,3.3,17.9,9.8,5,20,15.9,0,15.5,51,89,3,0.197777777777778,2,2,2,0
0,"0",3600,24.3,-0.03,0.11,-0.17,0,0,0,0,0,2.7,4.9,5,0.6,7.6,4.5,8.5,8,2.3,14.8,8.4,17,4,5,2.8,5.6,34,49,2,0.0981963927855711,4,4,4,1
0,"0",3500,27,0.02,0.36,0.03,0,0.1,0,0,6,6.3,6.3,4.3,0.8,8.3,13.4,10.5,7,2.4,18.6,6.9,31,27,3.9,0,0,44,68,1,0.177083333333333,1,2,3,0
1,"0",3500,18,-0.02,-0.3,0.07,0,0,0,0,0,9.3,5.8,5.2,1,5.6,12.5,7.4,9,2.4,12.3,8.3,5,29,0,6.9,14.2,35,66,2,0.134419551934827,4,3,3,0
0,"0",3400,20.5,0.08,-0.23,0.08,0,0.1,0,0,9,2.7,2.5,3.7,0.6,9.3,3.2,5.3,6,-0.4,11,4.5,11,15,2.7,2.5,4.3,17,27,2,0.0566037735849057,4,6,3,0
0,"0",3400,19,0.13,-0.06,0.07,0,0,0,0,0,4.7,6.9,6.8,0.5,5.7,5.7,9.2,11,0.8,17.6,10.9,30,23,10,2.8,4.4,48,90,3,0.224438902743142,1,1,2,0
1,"0",3400,32.5,-0.01,0.59,0.08,0,0,0,0,0,3.3,2.4,4,0.3,6.7,6.1,4.1,6,-0.6,8.8,8.7,32,31,7.2,9.8,0,14,25,2,0.0551876379690949,9,8,6,0
2,"0",3400,21.8,0.07,0.05,-0.01,0,0,0,0,0,3.7,4.2,4.1,0.8,7.2,7.2,7,7,2.6,11.5,5.9,25,13,11.3,6.4,3.9,22,55,4,0.119825708061002,5,4,2,0
0,"0",3300,18.3,0.05,-0.1,0.04,0.3,0.2,0,0,9.5,7.3,3.2,4,0.2,8.2,10,4.5,7,-0.1,9.1,6.5,16,22,7.5,14.5,8.1,17,33,0,0.0702127659574468,7,7,9,0
1,"0",3300,18.5,0.02,0.15,0.16,0,0.1,0,0.1,1,3.7,5.3,4.4,0.3,6.7,6.6,7.3,7,1.5,13.1,8.1,15,28,0,0,3.1,37,78,2,0.1875,4,2,6,0
0,"0",3300,23.3,0.02,-0.09,-0.02,0,0,0,0,0,3.7,4.8,4.6,0.5,8.8,4,7.2,8,2.9,11.6,7.8,18,8,1.4,0,4.7,28,54,1,0.108870967741935,5,3,4,0
1,"0",3300,32.5,-0.01,0.59,0.08,0,0,0,0,0,3,2.2,2.9,0.6,6.5,6,4.8,4,1.1,8.6,5.8,32,31,8.9,1.5,7.7,17,23,3,0.0507726269315673,8,9,3,0
1,"0",3200,27.5,0.03,0.03,0,0,0,0,0,0,3.7,4,4,0.3,9.8,10,8.2,6,2.7,13.6,7.9,19,18,18.6,3.3,8,34,51,3,0.125925925925926,4,4,3,0
0,"0",3200,18.5,0.02,0.15,0.16,0,0.1,0,0,15,3.3,4.1,4.4,0.3,10.2,6,9.5,7,-0.3,19.3,7.5,15,28,0,0,0,25,36,3,0.0865384615384615,5,5,3,0
0,"0",3200,24.5,0.14,-0.19,0.2,0.3,0.2,0,0.1,25,3.7,4.4,1.7,0.5,4.9,7.6,6.9,3,0.6,13.1,2.8,23,32,0,20.3,2.6,29,48,2,0.105263157894737,5,5,3,0
0,"0",3200,24.8,0.07,0.07,-0.01,1,0.5,0.5,0,6.1,4,4.3,4.2,0.5,6.3,5.7,7.8,8,1.9,13.7,7.7,29,14,4.8,3.6,8.7,45,59,2,0.125265392781316,4,4,3,0
0,"0",3100,12.3,-0.04,-0.08,0.03,0,0,0,0,0,4.7,4.7,4.5,0.4,8.2,4.4,8,8,2.3,13.7,6.2,5,20,2,9.8,1.3,37,64,3,0.142222222222222,4,4,2,0
0,"0",3100,27,0.02,0.36,0.03,0,0,0,0,0,4.7,4.9,2.8,0.5,6.7,3.6,7.4,4,0.2,14.6,5.3,31,27,0,7.5,3.3,26,54,3,0.140625,4,3,2,0
1,"0",3100,23,-0.01,-0.06,0.09,0,0.1,0.2,0,2,3.3,4.3,3,0.3,7.8,10.2,7.1,5,3,11.1,5.1,12,30,8.2,13.9,8.4,27,53,4,0.0963636363636364,5,4,1,0
0,"0",3100,18,-0.02,-0.3,0.07,0.3,0.2,0,0,4.5,4,5,3.3,1.2,5.2,4.3,6.1,6,2.4,9.7,5,5,29,4.2,6.7,0,33,63,1,0.128309572301426,5,5,5,0
0,"0",3100,24.5,0.14,-0.19,0.2,0,0,0,0,0,3,4.5,4.5,0.8,7.8,4.9,6.2,7,2.9,9.5,6.2,23,32,9,0,5.6,36,62,0,0.135964912280702,3,3,6,0
0,"0",3000,27.3,-0.05,0.03,0.14,0,0,0,0,0,6.7,5.5,5.2,0.8,6,5.4,6,9,2.8,9.2,9.7,14,25,1.7,11.8,2.8,38,72,0,0.171021377672209,3,3,5,0
0,"0",3000,27.3,-0.05,0.03,0.14,0,0,0,0,0,3,2.4,1.6,0.3,8.6,3.8,3.4,3,1.1,5.7,4,14,25,0,0,2.7,13,24,0,0.0570071258907363,6,5,5,0
0,"0",3000,27.3,-0.05,0.03,0.14,0,0,0,0,0,1.7,1.3,0,0,13.8,5.7,4.7,0,-0.4,9.9,0,14,25,13.1,2.4,0,7,8,2,0.0190023752969121,9,9,3,0
0,"0",3000,27.5,0.03,0.03,0,0,0,0,0,0,1.7,2.5,1.1,0.5,6.2,2.3,3.9,2,-0.9,8.6,1.9,19,18,0,0,0,14,28,3,0.0691358024691358,6,6,3,0
0,"0",3000,20.5,0.08,-0.23,0.08,0,0,0,0,0,2,1.8,2.9,0,12,7,4.6,5,-0.9,10,5.1,11,15,0,9.6,0,6,9,1,0.0188679245283019,10,11,4,0
0,"0",3000,18,-0.13,-0.02,-0.1,0,0,0,0,0,3.3,2,0.7,0.4,5.4,6.4,3.9,1,-1.7,9.6,1.6,6,6,13.1,6.1,0,9,14,2,0.0262172284644195,10,10,4,0
0,"0",3000,21.5,-0.17,0.05,-0.1,0,0,0,0,0,2,2,3.8,0.5,7,3.4,3.4,6,3.1,3.7,5.2,10,5,3.6,0,0,4,4,0,0.00862068965517241,10,12,8,0
0,"0",3000,16.5,-0.04,0.17,-0.06,0,0.2,0.2,0,0,1.3,3.5,2.9,0.7,5.8,1.5,5.4,6,-0.7,11.5,5.1,19,11,1.4,0,0,26,47,3,0.100642398286938,5,5,2,0
0,"0",3000,27,0.02,0.36,0.03,0,0,0,0,0,2,2.6,1.3,0.6,6.1,6.4,6.1,2,3.1,9.2,2.3,31,27,0,0,0,8,20,4,0.0520833333333333,10,7,1,0
0,"0",3000,23,-0.01,-0.06,0.09,0,0,0,0,0,3,3.3,3,0.2,6.7,4.7,4.1,5,0.9,7.4,5.1,12,30,2,7.1,5,27,47,0,0.0854545454545454,5,5,9,0
0,"0",3000,18.5,0.02,0.15,0.16,0,0,0,0,0,1.7,2.7,0.5,0.5,10.1,3.8,4.4,1,1.7,7,0,15,28,2,0,8,11,17,0,0.0408653846153846,6,7,10,0
0,"0",3000,19.3,0.06,-0.14,-0.05,0,0,0,0,0,4.3,1.8,1.1,0.2,7.6,3.8,3.6,2,-0.2,7.5,1.7,7,7,0,7.5,3.9,13,24,1,0.0501043841336117,6,6,6,0
0,"0",3000,19.8,-0.14,-0.05,-0.2,0,0,0,0,0,1,2,2.9,0.4,8,1,2.7,5,-0.8,6.2,6.5,2,2,3.1,0,0,13,24,0,0.048582995951417,9,9,7,0
0,"0",3000,22.8,-0.15,-0.1,0,0,0,0,0,0,3.7,3.1,0.7,0.7,8,8.3,6.4,1,2.6,10.2,1.2,3,12,9.7,0,7.3,25,33,3,0.0609981515711645,7,7,5,0
0,"0",3000,25.8,0.1,-0.08,0.03,0,0,0,0,0,1.3,1,2.3,0.1,5.3,2.9,2,4,-1.2,5.1,4.8,27,15,7.9,0,0.9,4,7,1,0.0127041742286751,10,10,6,0
0,"0",3000,19,0.13,-0.06,0.07,0,0,0,0,0,2.3,1.6,1.7,0,7,3.4,2,3,-0.6,4.6,3.1,30,23,0,0,0,9,17,0,0.0423940149625935,8,8,8,0
0,"0",3000,19,0.13,-0.06,0.07,0,0,0,0,0,3.7,2.8,0,0,5.8,2.9,2.8,0,0.4,5.2,0,30,23,0,0,0,6,15,0,0.0374064837905237,10,9,8,0
0,"0",3000,20.3,0.02,-0.16,-0.07,0,0.1,0,0,0,1.7,2.8,3,0.3,6.2,1.3,3.7,5,-0.6,8,5,8,10,0,0,-1,20,32,1,0.0692640692640693,4,3,6,0
0,"0",3000,20.3,0.02,-0.16,-0.07,0,0,0,0,0,2.3,2.4,0,0.3,6.4,5.8,4,0,-1.2,9.2,0,8,10,1.5,0,14.6,10,22,2,0.0476190476190476,8,7,3,0
0,"0",3000,20.3,0.02,-0.16,-0.07,0,0,0,0,0,3.3,2.1,1.3,0.6,7.5,7.9,4.3,2,0.7,7.9,2.1,8,10,4.8,0,7.6,10,19,2,0.0411255411255411,8,8,3,0
0,"0",3000,26,0.07,-0.14,-0.04,0,0,0,0,0,1,1.6,2.6,0.6,3.9,0,2.6,4,-0.6,5.9,4.4,22,9,0,0,0,10,18,2,0.0343511450381679,9,8,5,0
5,"0",3000,26,0.07,-0.14,-0.04,0,0,0,0,0,6,5.2,3.9,1.4,5.1,7.7,7.8,6,3.6,12,6.9,22,9,3.2,5.8,14.1,34,72,4,0.137404580152672,3,3,2,0
0,"0",3000,24.3,-0.03,0.11,-0.17,0,0,0,0,0,2,2.6,2.5,0.3,7.3,2.4,4.2,4,0.6,7.8,4.3,17,4,2.5,3.1,1.5,12,24,1,0.0480961923847695,8,7,6,0
0,"0",3000,24.3,-0.03,0.11,-0.17,0,0.2,0,0,2.5,1.3,4.1,0.9,0.4,9.4,0,7.1,1,-3.5,17.7,1.8,17,4,0,0,0,20,43,2,0.0861723446893788,5,5,4,0
0,"0",3000,21.3,0.04,-0.16,-0.1,0,0,0,0,0,1.7,1.7,1.7,0,13.2,3.2,3.2,3,-0.9,7.3,3,9,3,1.8,7.8,0,3,5,0,0.0105263157894737,12,12,6,0
0,"0",3000,21.8,0.07,0.05,-0.01,0.7,0.2,0,0,3,2.7,3.7,1.8,0.6,4.6,0.8,3.9,3,-0.7,8.5,3.2,25,13,2.7,-0.3,0,21,44,1,0.0958605664488017,6,5,5,0
